"APLICATION NAME","DOMAIN NAME","ID"
"Bitchip","cafepress.com","1"
"Fixflex","trellian.com","2"
"Redhold","sbwire.com","3"
"Alphazap","time.com","4"
"Greenlam","friendfeed.com","5"
"Pannier","delicious.com","6"
"Biodex","bbb.org","7"
"Opela","icq.com","8"
"Overhold","ovh.net","10"
"Bitwolf","tmall.com","11"
"Daltfresh","wufoo.com","12"
"Tresom","mozilla.com","13"
"Wrapsafe","theguardian.com","14"
"Y-find","histats.com","15"
"Konklux","seesaa.net","16"
"Home Ing","cbsnews.com","17"
"Aerified","noaa.gov","18"
"Tin","ebay.co.uk","21"
"Stim","taobao.com","22"
"Quo Lux","skype.com","23"
"Zaam-Dox","ow.ly","24"
"Cookley","geocities.com","25"
"Fintone","marketwatch.com","28"
"Gembucket","netscape.com","29"
"Tres-Zap","naver.com","30"
"Tampflex","51.la","33"
"Duobam","home.pl","34"
"Voyatouch","blogspot.com","37"
"Transcof","wiley.com","38"
"Toughjoyfax","bravesites.com","39"
"Temp","angelfire.com","43"
"Voltsillam","mail.ru","46"
"Zathin","bluehost.com","49"
"Viva","gmpg.org","51"
"Treeflex","g.co","53"
"Stringtough","feedburner.com","55"
"Andalax","uiuc.edu","56"
"Stronghold","de.vu","57"
"Ventosanzap","google.nl","58"
"Tempsoft","dell.com","59"
"Sub-Ex","yellowbook.com","60"
"Subin","free.fr","62"
"Cardguard","google.cn","64"
"Namfix","biglobe.ne.jp","66"
"Y-Solowarm","rambler.ru","68"
"Lotstring","vistaprint.com","69"
"Latlux","goo.ne.jp","71"
"Domainer","ftc.gov","74"
"Prodder","dailymotion.com","76"
"Span","umich.edu","78"
"Asoka","pinterest.com","80"
"Trippledex","usnews.com","90"
"Holdlamis","github.com","91"
"Zontrax","posterous.com","95"
"Job","yolasite.com","97"
"Rank","buzzfeed.com","98"
"Vagram","indiegogo.com","99"
"Sonair","unesco.org","102"
"Veribet","cam.ac.uk","108"
"Konklab","unc.edu","113"
"Bamity","yelp.com","122"
"Otcom","tuttocitta.it","132"
"Flexidy","booking.com","144"
"Regrant","prweb.com","150"
"Hatity","springer.com","162"
"Keylex","unblog.fr","163"
"Zamit","archive.org","164"
"Matsoft","phpbb.com","173"
"Ronstring","washington.edu","177"
